,h_t+1,h_t,a_age_t,paper_num_t
1975,1,0,0,2
1976,2,1,1,4
1977,2,2,2,6
1978,3,2,3,11
1979,4,3,4,11
1980,5,4,5,17
1981,5,5,6,24
1982,5,5,7,30
1983,6,5,8,37
1984,7,6,9,40
1985,8,7,10,48
1986,11,8,11,58
1987,12,11,12,65
1988,14,12,13,75
1989,14,14,14,87
1990,16,14,15,96
1991,19,16,16,104
1992,22,19,17,113
1993,24,22,18,120
1994,24,24,19,126
1995,25,24,20,136
1996,26,25,21,142
1997,27,26,22,159
1998,27,27,23,168
1999,28,27,24,179
2000,29,28,25,188
2001,31,29,26,199
2002,33,31,27,208
2003,37,33,28,219
2004,38,37,29,236
2005,42,38,30,251
2006,44,42,31,263
2007,46,44,32,283
2008,49,46,33,300
2009,50,49,34,322
2010,53,50,35,346
2011,55,53,36,378
2012,59,55,37,390
2013,63,59,38,416
2014,65,63,39,432
2015,67,65,40,445
2016,71,67,41,457
2017,76,71,42,471
2018,81,76,43,493
2019,82,81,44,520
2020,82,82,45,521
