,h_t+1,h_t,a_age_t,paper_num_t
1985,1,0,0,1
1986,1,1,1,2
1987,2,1,2,3
1988,2,2,3,7
1989,3,2,4,10
1990,4,3,5,12
1991,6,4,6,19
1992,7,6,7,27
1993,7,7,8,32
1994,8,7,9,43
1995,9,8,10,50
1996,9,9,11,57
1997,10,9,12,60
1998,11,10,13,68
1999,13,11,14,75
2000,16,13,15,87
2001,17,16,16,102
2002,20,17,17,119
2003,23,20,18,135
2004,31,23,19,155
2005,36,31,20,187
2006,41,36,21,221
2007,47,41,22,268
2008,55,47,23,305
2009,61,55,24,346
2010,67,61,25,405
2011,71,67,26,487
2012,75,71,27,538
2013,84,75,28,585
2014,88,84,29,629
2015,96,88,30,663
2016,102,96,31,702
2017,108,102,32,732
2018,113,108,33,764
2019,114,113,34,784
2020,114,114,35,789
