,h_t+1,h_t,a_age_t,paper_num_t
1989,0,0,0,1
1990,2,0,1,4
1991,5,2,2,6
1992,6,5,3,12
1993,7,6,4,16
1994,9,7,5,24
1995,11,9,6,32
1996,14,11,7,43
1997,17,14,8,55
1998,21,17,9,72
1999,23,21,10,80
2000,26,23,11,92
2001,29,26,12,111
2002,32,29,13,130
2003,34,32,14,145
2004,37,34,15,164
2005,41,37,16,182
2006,45,41,17,202
2007,46,45,18,224
2008,47,46,19,247
2009,51,47,20,265
2010,54,51,21,296
2011,57,54,22,316
2012,59,57,23,330
2013,61,59,24,347
2014,63,61,25,361
2015,66,63,26,379
2016,69,66,27,394
2017,71,69,28,409
2018,72,71,29,421
2019,72,72,30,432
2020,72,72,31,435
