,h_t+1,h_t,a_age_t,paper_num_t
1979,1,0,0,2
1980,1,1,1,3
1981,1,1,2,5
1982,2,1,3,5
1983,4,2,4,8
1984,6,4,5,11
1985,7,6,6,16
1986,8,7,7,19
1987,9,8,8,25
1988,12,9,9,28
1989,14,12,10,30
1990,15,14,11,33
1991,15,15,12,35
1992,18,15,13,37
1993,19,18,14,41
1994,21,19,15,41
1995,23,21,16,45
1996,23,23,17,48
1997,25,23,18,56
1998,25,25,19,64
1999,28,25,20,70
2000,29,28,21,77
2001,30,29,22,81
2002,32,30,23,91
2003,33,32,24,95
2004,34,33,25,100
2005,35,34,26,110
2006,36,35,27,114
2007,39,36,28,123
2008,40,39,29,127
2009,44,40,30,147
2010,45,44,31,163
2011,48,45,32,174
2012,53,48,33,187
2013,59,53,34,200
2014,67,59,35,204
2015,73,67,36,207
2016,79,73,37,209
2017,84,79,38,211
2018,85,84,39,217
2019,87,85,40,221
2020,87,87,41,221
