,h_t+1,h_t,a_age_t,paper_num_t
1970,2,1,6,20
1971,4,2,7,26
1972,5,4,8,32
1973,6,5,9,34
1974,7,6,10,35
1975,8,7,11,45
1976,9,8,12,46
1977,9,9,13,48
1978,9,9,14,51
1979,10,9,15,57
1980,10,10,16,64
1981,11,10,17,79
1982,11,11,18,93
1983,12,11,19,117
1984,12,12,20,140
1985,13,12,21,147
1986,15,13,22,165
1987,17,15,23,179
1988,18,17,24,199
1989,19,18,25,211
1990,21,19,26,229
1991,22,21,27,244
1992,23,22,28,269
1993,24,23,29,280
1994,25,24,30,297
1995,27,25,31,311
1996,29,27,32,330
1997,31,29,33,359
1998,32,31,34,388
1999,34,32,35,417
2000,35,34,36,464
2001,37,35,37,517
2002,42,37,38,573
2003,47,42,39,606
2004,51,47,40,649
2005,56,51,41,692
2006,59,56,42,744
2007,63,59,43,809
2008,67,63,44,885
2009,70,67,45,938
2010,73,70,46,978
2011,76,73,47,1018
2012,82,76,48,1053
2013,86,82,49,1072
2014,91,86,50,1092
2015,95,91,51,1116
2016,98,95,52,1132
2017,100,98,53,1154
2018,104,100,54,1176
2019,106,104,55,1189
2020,106,106,56,1191
