,h_t+1,h_t,a_age_t,paper_num_t
1972,0,0,0,2
1973,0,0,1,3
1974,1,0,2,4
1975,1,1,3,6
1976,2,1,4,8
1977,2,2,5,9
1978,3,2,6,13
1979,3,3,7,19
1980,4,3,8,22
1981,5,4,9,26
1982,6,5,10,30
1983,6,6,11,37
1984,7,6,12,41
1985,7,7,13,47
1986,8,7,14,53
1987,9,8,15,58
1988,10,9,16,66
1989,11,10,17,75
1990,12,11,18,83
1991,14,12,19,94
1992,16,14,20,116
1993,17,16,21,123
1994,18,17,22,141
1995,20,18,23,165
1996,22,20,24,199
1997,24,22,25,226
1998,26,24,26,243
1999,29,26,27,267
2000,36,29,28,285
2001,40,36,29,306
2002,47,40,30,332
2003,53,47,31,355
2004,59,53,32,395
2005,64,59,33,430
2006,71,64,34,458
2007,77,71,35,480
2008,82,77,36,498
2009,89,82,37,515
2010,94,89,38,545
2011,99,94,39,573
2012,102,99,40,610
2013,105,102,41,637
2014,110,105,42,652
2015,114,110,43,675
2016,116,114,44,691
2017,124,116,45,705
2018,130,124,46,730
2019,131,130,47,744
2020,131,131,48,746
