,h_t+1,h_t,a_age_t,paper_num_t
1989,1,1,0,1
1990,1,1,1,4
1991,3,1,2,8
1992,4,3,3,11
1993,6,4,4,15
1994,7,6,5,19
1995,10,7,6,24
1996,11,10,7,31
1997,14,11,8,41
1998,16,14,9,46
1999,17,16,10,51
2000,19,17,11,55
2001,21,19,12,58
2002,23,21,13,66
2003,28,23,14,87
2004,34,28,15,113
2005,37,34,16,140
2006,43,37,17,159
2007,47,43,18,171
2008,51,47,19,185
2009,57,51,20,218
2010,62,57,21,247
2011,65,62,22,266
2012,71,65,23,284
2013,76,71,24,308
2014,78,76,25,329
2015,82,78,26,346
2016,87,82,27,355
2017,91,87,28,370
2018,98,91,29,385
2019,99,98,30,393
2020,99,99,31,395
