,h_t+1,h_t,a_age_t,paper_num_t
1970,7,4,10,24
1971,9,7,11,31
1972,10,9,12,34
1973,11,10,13,45
1974,12,11,14,57
1975,13,12,15,66
1976,15,13,16,73
1977,17,15,17,81
1978,17,17,18,93
1979,18,17,19,105
1980,19,18,20,111
1981,21,19,21,117
1982,22,21,22,126
1983,24,22,23,143
1984,25,24,24,165
1985,26,25,25,189
1986,27,26,26,213
1987,29,27,27,239
1988,31,29,28,260
1989,31,31,29,289
1990,32,31,30,302
1991,34,32,31,326
1992,35,34,32,351
1993,37,35,33,377
1994,38,37,34,422
1995,41,38,35,449
1996,42,41,36,462
1997,44,42,37,474
1998,45,44,38,485
1999,47,45,39,497
2000,48,47,40,508
2001,49,48,41,511
2002,51,49,42,514
2003,54,51,43,516
2004,55,54,44,523
2005,56,55,45,527
2006,58,56,46,529
2007,59,58,47,529
2008,61,59,48,529
2009,62,61,49,533
2010,64,62,50,534
2011,64,64,51,535
2012,65,64,52,535
2013,67,65,53,535
2014,69,67,54,535
2015,70,69,55,536
2016,72,70,56,536
2017,72,72,57,538
2018,74,72,58,538
2019,74,74,59,539
2020,74,74,60,539
