,h_t+1,h_t,a_age_t,paper_num_t
1971,0,0,0,1
1972,0,0,1,1
1973,0,0,2,1
1974,0,0,3,1
1975,0,0,4,1
1976,1,0,5,1
1977,1,1,6,2
1978,1,1,7,2
1979,1,1,8,5
1980,1,1,9,8
1981,3,1,10,17
1982,4,3,11,19
1983,5,4,12,29
1984,6,5,13,36
1985,7,6,14,46
1986,8,7,15,52
1987,10,8,16,60
1988,12,10,17,75
1989,14,12,18,88
1990,15,14,19,101
1991,17,15,20,116
1992,18,17,21,125
1993,20,18,22,133
1994,21,20,23,147
1995,24,21,24,158
1996,26,24,25,170
1997,28,26,26,187
1998,30,28,27,213
1999,32,30,28,233
2000,35,32,29,262
2001,39,35,30,276
2002,44,39,31,289
2003,49,44,32,312
2004,51,49,33,342
2005,53,51,34,374
2006,57,53,35,394
2007,62,57,36,415
2008,64,62,37,434
2009,67,64,38,456
2010,70,67,39,479
2011,74,70,40,509
2012,78,74,41,529
2013,81,78,42,545
2014,83,81,43,553
2015,85,83,44,562
2016,87,85,45,573
2017,90,87,46,578
2018,93,90,47,582
2019,93,93,48,583
2020,93,93,49,583
