,h_t+1,h_t,a_age_t,paper_num_t
1981,1,0,0,3
1982,2,1,1,5
1983,2,2,2,9
1984,3,2,3,12
1985,3,3,4,13
1986,3,3,5,16
1987,4,3,6,19
1988,4,4,7,25
1989,4,4,8,26
1990,6,4,9,29
1991,7,6,10,36
1992,7,7,11,38
1993,9,7,12,46
1994,10,9,13,58
1995,11,10,14,66
1996,11,11,15,70
1997,12,11,16,78
1998,14,12,17,90
1999,16,14,18,100
2000,18,16,19,109
2001,20,18,20,115
2002,22,20,21,126
2003,25,22,22,145
2004,26,25,23,161
2005,29,26,24,177
2006,31,29,25,186
2007,32,31,26,198
2008,35,32,27,211
2009,38,35,28,220
2010,40,38,29,232
2011,42,40,30,254
2012,45,42,31,273
2013,48,45,32,291
2014,51,48,33,308
2015,52,51,34,323
2016,53,52,35,341
2017,53,53,36,354
2018,55,53,37,362
2019,57,55,38,376
2020,57,57,39,377
