,h_t+1,h_t,a_age_t,paper_num_t
1978,0,0,0,1
1979,0,0,1,1
1980,1,0,2,2
1981,2,1,3,6
1982,2,2,4,9
1983,2,2,5,12
1984,2,2,6,17
1985,3,2,7,20
1986,4,3,8,26
1987,5,4,9,32
1988,7,5,10,37
1989,7,7,11,47
1990,7,7,12,66
1991,9,7,13,83
1992,10,9,14,101
1993,10,10,15,121
1994,11,10,16,151
1995,11,11,17,177
1996,12,11,18,201
1997,15,12,19,221
1998,16,15,20,239
1999,17,16,21,252
2000,19,17,22,272
2001,22,19,23,279
2002,24,22,24,289
2003,26,24,25,298
2004,28,26,26,309
2005,29,28,27,328
2006,33,29,28,354
2007,36,33,29,392
2008,39,36,30,422
2009,42,39,31,460
2010,44,42,32,488
2011,49,44,33,523
2012,52,49,34,551
2013,58,52,35,585
2014,63,58,36,645
2015,66,63,37,688
2016,73,66,38,721
2017,79,73,39,761
2018,84,79,40,800
2019,87,84,41,828
2020,87,87,42,829
