,h_t+1,h_t,a_age_t,paper_num_t
1977,1,1,0,1
1978,1,1,1,3
1979,1,1,2,5
1980,1,1,3,6
1981,2,1,4,9
1982,2,2,5,18
1983,2,2,6,25
1984,3,2,7,30
1985,4,3,8,43
1986,5,4,9,49
1987,5,5,10,54
1988,5,5,11,56
1989,5,5,12,59
1990,6,5,13,61
1991,6,6,14,63
1992,6,6,15,66
1993,7,6,16,68
1994,8,7,17,72
1995,8,8,18,75
1996,9,8,19,80
1997,10,9,20,95
1998,11,10,21,100
1999,12,11,22,109
2000,15,12,23,119
2001,16,15,24,134
2002,19,16,25,140
2003,20,19,26,157
2004,22,20,27,181
2005,25,22,28,203
2006,27,25,29,223
2007,28,27,30,246
2008,29,28,31,276
2009,31,29,32,303
2010,32,31,33,329
2011,34,32,34,348
2012,36,34,35,367
2013,39,36,36,392
2014,41,39,37,422
2015,42,41,38,431
2016,44,42,39,434
2017,45,44,40,434
2018,46,45,41,434
2019,47,46,42,434
2020,47,47,43,436
