,h_t+1,h_t,a_age_t,paper_num_t
1970,2,1,10,9
1971,3,2,11,11
1972,3,3,12,12
1973,4,3,13,12
1974,4,4,14,13
1975,5,4,15,15
1976,5,5,16,17
1977,5,5,17,18
1978,6,5,18,19
1979,6,6,19,22
1980,7,6,20,23
1981,7,7,21,25
1982,8,7,22,26
1983,8,8,23,29
1984,8,8,24,32
1985,9,8,25,37
1986,9,9,26,38
1987,9,9,27,40
1988,9,9,28,45
1989,10,9,29,45
1990,11,10,30,49
1991,13,11,31,50
1992,13,13,32,53
1993,14,13,33,59
1994,14,14,34,65
1995,16,14,35,72
1996,17,16,36,74
1997,18,17,37,80
1998,19,18,38,85
1999,20,19,39,91
2000,20,20,40,95
2001,21,20,41,100
2002,23,21,42,103
2003,24,23,43,109
2004,27,24,44,112
2005,30,27,45,116
2006,31,30,46,123
2007,33,31,47,127
2008,36,33,48,132
2009,39,36,49,135
2010,41,39,50,136
2011,43,41,51,140
2012,44,43,52,142
2013,48,44,53,144
2014,51,48,54,146
2015,51,51,55,148
2016,52,51,56,149
2017,53,52,57,150
2018,53,53,58,150
2019,53,53,59,150
2020,53,53,60,150
