,h_t+1,h_t,a_age_t,paper_num_t
1990,1,1,0,2
1991,1,1,1,3
1992,2,1,2,5
1993,3,2,3,6
1994,3,3,4,7
1995,3,3,5,10
1996,6,3,6,13
1997,9,6,7,20
1998,10,9,8,32
1999,10,10,9,39
2000,12,10,10,49
2001,14,12,11,63
2002,16,14,12,85
2003,20,16,13,100
2004,23,20,14,118
2005,28,23,15,126
2006,30,28,16,140
2007,35,30,17,149
2008,37,35,18,167
2009,40,37,19,179
2010,41,40,20,191
2011,42,41,21,206
2012,44,42,22,212
2013,46,44,23,219
2014,48,46,24,228
2015,52,48,25,238
2016,55,52,26,246
2017,56,55,27,253
2018,58,56,28,255
2019,59,58,29,265
2020,59,59,30,270
