,h_t+1,h_t,a_age_t,paper_num_t
1988,2,0,0,1
1989,2,2,1,3
1990,2,2,2,3
1991,3,2,3,3
1992,3,3,4,3
1993,3,3,5,3
1994,3,3,6,3
1995,3,3,7,3
1996,3,3,8,3
1997,3,3,9,3
1998,4,3,10,7
1999,5,4,11,9
2000,6,5,12,11
2001,8,6,13,13
2002,8,8,14,14
2003,9,8,15,17
2004,10,9,16,21
2005,11,10,17,28
2006,13,11,18,36
2007,14,13,19,51
2008,15,14,20,66
2009,16,15,21,82
2010,17,16,22,102
2011,18,17,23,110
2012,21,18,24,122
2013,24,21,25,132
2014,24,24,26,144
2015,25,24,27,149
2016,25,25,28,153
2017,25,25,29,161
2018,25,25,30,173
2019,25,25,31,184
2020,25,25,32,185
