,h_t+1,h_t,a_age_t,paper_num_t
1981,0,0,0,1
1982,1,0,1,2
1983,1,1,2,5
1984,3,1,3,9
1985,4,3,4,11
1986,4,4,5,13
1987,6,4,6,15
1988,7,6,7,19
1989,8,7,8,22
1990,10,8,9,29
1991,11,10,10,35
1992,12,11,11,40
1993,14,12,12,47
1994,15,14,13,52
1995,17,15,14,55
1996,17,17,15,61
1997,18,17,16,65
1998,20,18,17,72
1999,20,20,18,80
2000,22,20,19,84
2001,23,22,20,95
2002,25,23,21,99
2003,27,25,22,117
2004,29,27,23,127
2005,31,29,24,139
2006,34,31,25,149
2007,36,34,26,154
2008,37,36,27,168
2009,41,37,28,174
2010,43,41,29,182
2011,44,43,30,192
2012,46,44,31,203
2013,48,46,32,206
2014,49,48,33,212
2015,51,49,34,214
2016,54,51,35,217
2017,54,54,36,220
2018,55,54,37,221
2019,55,55,38,222
2020,55,55,39,222
