,h_t+1,h_t,a_age_t,paper_num_t
1977,0,0,0,1
1978,0,0,1,3
1979,1,0,2,9
1980,2,1,3,17
1981,3,2,4,20
1982,5,3,5,31
1983,5,5,6,35
1984,6,5,7,43
1985,8,6,8,62
1986,11,8,9,82
1987,13,11,10,110
1988,13,13,11,122
1989,15,13,12,133
1990,17,15,13,143
1991,19,17,14,154
1992,20,19,15,168
1993,21,20,16,179
1994,21,21,17,197
1995,23,21,18,210
1996,26,23,19,221
1997,29,26,20,235
1998,31,29,21,241
1999,33,31,22,258
2000,35,33,23,281
2001,37,35,24,305
2002,41,37,25,322
2003,44,41,26,347
2004,47,44,27,375
2005,50,47,28,399
2006,53,50,29,422
2007,56,53,30,447
2008,58,56,31,478
2009,60,58,32,505
2010,63,60,33,540
2011,66,63,34,563
2012,69,66,35,589
2013,73,69,36,623
2014,78,73,37,659
2015,81,78,38,688
2016,83,81,39,703
2017,85,83,40,711
2018,88,85,41,723
2019,90,88,42,730
2020,90,90,43,731
