,h_t+1,h_t,a_age_t,paper_num_t
1992,1,1,0,1
1993,1,1,1,2
1994,1,1,2,3
1995,3,1,3,4
1996,4,3,4,8
1997,4,4,5,14
1998,5,4,6,18
1999,6,5,7,27
2000,9,6,8,37
2001,13,9,9,45
2002,16,13,10,56
2003,17,16,11,67
2004,21,17,12,83
2005,26,21,13,93
2006,27,26,14,114
2007,32,27,15,137
2008,36,32,16,151
2009,41,36,17,173
2010,44,41,18,193
2011,50,44,19,213
2012,55,50,20,256
2013,59,55,21,280
2014,64,59,22,311
2015,66,64,23,344
2016,71,66,24,371
2017,78,71,25,406
2018,85,78,26,430
2019,87,85,27,462
2020,87,87,28,470
