,h_t+1,h_t,a_age_t,paper_num_t
1986,1,0,0,2
1987,2,1,1,5
1988,2,2,2,6
1989,3,2,3,12
1990,5,3,4,13
1991,5,5,5,16
1992,8,5,6,29
1993,9,8,7,40
1994,9,9,8,51
1995,11,9,9,70
1996,13,11,10,79
1997,16,13,11,84
1998,18,16,12,92
1999,18,18,13,105
2000,18,18,14,116
2001,20,18,15,129
2002,22,20,16,141
2003,23,22,17,152
2004,25,23,18,166
2005,28,25,19,181
2006,30,28,20,194
2007,32,30,21,207
2008,35,32,22,228
2009,38,35,23,242
2010,40,38,24,263
2011,41,40,25,283
2012,42,41,26,296
2013,44,42,27,315
2014,46,44,28,324
2015,48,46,29,344
2016,49,48,30,351
2017,51,49,31,369
2018,52,51,32,382
2019,53,52,33,390
2020,53,53,34,391
