,h_t+1,h_t,a_age_t,paper_num_t
1979,1,0,0,1
1980,2,1,1,2
1981,3,2,2,6
1982,3,3,3,8
1983,3,3,4,12
1984,3,3,5,14
1985,3,3,6,21
1986,4,3,7,23
1987,5,4,8,31
1988,6,5,9,43
1989,7,6,10,57
1990,8,7,11,64
1991,8,8,12,71
1992,10,8,13,80
1993,12,10,14,93
1994,13,12,15,106
1995,14,13,16,112
1996,16,14,17,120
1997,17,16,18,128
1998,18,17,19,132
1999,20,18,20,137
2000,21,20,21,142
2001,22,21,22,142
2002,22,22,23,151
2003,23,22,24,162
2004,25,23,25,181
2005,27,25,26,215
2006,30,27,27,231
2007,32,30,28,259
2008,34,32,29,277
2009,35,34,30,289
2010,38,35,31,309
2011,39,38,32,324
2012,41,39,33,359
2013,45,41,34,379
2014,47,45,35,406
2015,51,47,36,418
2016,56,51,37,431
2017,58,56,38,447
2018,61,58,39,455
2019,61,61,40,461
2020,61,61,41,461
