,h_t+1,h_t,a_age_t,paper_num_t
1970,1,1,3,6
1971,1,1,4,7
1972,2,1,5,8
1973,3,2,6,11
1974,3,3,7,13
1975,4,3,8,16
1976,4,4,9,17
1977,5,4,10,19
1978,5,5,11,22
1979,5,5,12,23
1980,5,5,13,24
1981,6,5,14,26
1982,7,6,15,32
1983,8,7,16,38
1984,8,8,17,41
1985,9,8,18,49
1986,10,9,19,53
1987,12,10,20,58
1988,14,12,21,61
1989,15,14,22,61
1990,17,15,23,63
1991,18,17,24,68
1992,19,18,25,73
1993,20,19,26,76
1994,21,20,27,79
1995,23,21,28,80
1996,25,23,29,86
1997,25,25,30,90
1998,27,25,31,97
1999,28,27,32,104
2000,30,28,33,109
2001,32,30,34,119
2002,34,32,35,125
2003,37,34,36,143
2004,40,37,37,156
2005,46,40,38,172
2006,48,46,39,180
2007,50,48,40,196
2008,52,50,41,212
2009,56,52,42,224
2010,61,56,43,242
2011,63,61,44,253
2012,67,63,45,266
2013,72,67,46,285
2014,76,72,47,292
2015,79,76,48,305
2016,81,79,49,315
2017,85,81,50,324
2018,87,85,51,342
2019,87,87,52,356
2020,87,87,53,356
