,h_t+1,h_t,a_age_t,paper_num_t
1977,1,0,0,2
1978,1,1,1,6
1979,2,1,2,7
1980,2,2,3,9
1981,2,2,4,13
1982,3,2,5,17
1983,3,3,6,23
1984,4,3,7,25
1985,4,4,8,29
1986,5,4,9,35
1987,6,5,10,42
1988,6,6,11,51
1989,7,6,12,54
1990,7,7,13,60
1991,8,7,14,65
1992,11,8,15,81
1993,12,11,16,87
1994,13,12,17,99
1995,15,13,18,109
1996,16,15,19,124
1997,18,16,20,132
1998,18,18,21,148
1999,20,18,22,156
2000,22,20,23,165
2001,23,22,24,174
2002,25,23,25,186
2003,26,25,26,195
2004,28,26,27,207
2005,29,28,28,226
2006,31,29,29,236
2007,35,31,30,260
2008,37,35,31,271
2009,39,37,32,285
2010,43,39,33,303
2011,46,43,34,319
2012,48,46,35,330
2013,48,48,36,349
2014,51,48,37,357
2015,51,51,38,369
2016,52,51,39,381
2017,53,52,40,398
2018,55,53,41,405
2019,56,55,42,409
2020,56,56,43,409
