,h_t+1,h_t,a_age_t,paper_num_t
1980,1,0,0,3
1981,2,1,1,7
1982,3,2,2,19
1983,4,3,3,27
1984,6,4,4,37
1985,7,6,5,51
1986,7,7,6,57
1987,9,7,7,62
1988,9,9,8,66
1989,10,9,9,70
1990,12,10,10,82
1991,13,12,11,96
1992,14,13,12,109
1993,15,14,13,129
1994,16,15,14,148
1995,17,16,15,163
1996,19,17,16,181
1997,20,19,17,199
1998,22,20,18,215
1999,22,22,19,236
2000,24,22,20,256
2001,25,24,21,289
2002,28,25,22,325
2003,29,28,23,356
2004,31,29,24,405
2005,34,31,25,462
2006,37,34,26,516
2007,38,37,27,575
2008,41,38,28,646
2009,46,41,29,706
2010,49,46,30,761
2011,52,49,31,815
2012,54,52,32,865
2013,58,54,33,924
2014,62,58,34,997
2015,66,62,35,1074
2016,71,66,36,1158
2017,75,71,37,1240
2018,80,75,38,1323
2019,81,80,39,1379
2020,81,81,40,1399
