,h_t+1,h_t,a_age_t,paper_num_t
1990,0,0,0,2
1991,1,0,1,2
1992,1,1,2,3
1993,2,1,3,3
1994,2,2,4,8
1995,3,2,5,12
1996,4,3,6,14
1997,6,4,7,22
1998,7,6,8,28
1999,8,7,9,35
2000,11,8,10,42
2001,13,11,11,46
2002,16,13,12,51
2003,19,16,13,56
2004,22,19,14,65
2005,23,22,15,74
2006,25,23,16,87
2007,26,25,17,101
2008,29,26,18,121
2009,32,29,19,134
2010,35,32,20,149
2011,39,35,21,165
2012,45,39,22,183
2013,49,45,23,195
2014,53,49,24,213
2015,59,53,25,230
2016,61,59,26,246
2017,65,61,27,254
2018,68,65,28,263
2019,68,68,29,279
2020,68,68,30,283
