,h_t+1,h_t,a_age_t,paper_num_t
1973,0,0,0,2
1974,0,0,1,4
1975,0,0,2,6
1976,1,0,3,8
1977,1,1,4,10
1978,2,1,5,13
1979,3,2,6,21
1980,4,3,7,25
1981,5,4,8,36
1982,7,5,9,47
1983,9,7,10,59
1984,9,9,11,65
1985,10,9,12,84
1986,11,10,13,111
1987,12,11,14,133
1988,13,12,15,161
1989,16,13,16,170
1990,20,16,17,191
1991,21,20,18,204
1992,23,21,19,231
1993,25,23,20,258
1994,27,25,21,289
1995,28,27,22,307
1996,30,28,23,344
1997,30,30,24,364
1998,32,30,25,387
1999,33,32,26,413
2000,36,33,27,435
2001,38,36,28,463
2002,38,38,29,490
2003,42,38,30,517
2004,45,42,31,535
2005,48,45,32,575
2006,51,48,33,614
2007,54,51,34,640
2008,56,54,35,668
2009,57,56,36,691
2010,60,57,37,705
2011,60,60,38,713
2012,61,60,39,729
2013,63,61,40,747
2014,65,63,41,770
2015,68,65,42,791
2016,69,68,43,798
2017,70,69,44,814
2018,72,70,45,830
2019,73,72,46,844
2020,73,73,47,845
