,h_t+1,h_t,a_age_t,paper_num_t
1980,1,0,0,3
1981,2,1,1,14
1982,3,2,2,17
1983,4,3,3,27
1984,6,4,4,33
1985,7,6,5,39
1986,8,7,6,52
1987,10,8,7,63
1988,11,10,8,75
1989,12,11,9,85
1990,13,12,10,88
1991,14,13,11,92
1992,16,14,12,100
1993,17,16,13,108
1994,19,17,14,115
1995,20,19,15,124
1996,20,20,16,131
1997,21,20,17,146
1998,22,21,18,165
1999,24,22,19,187
2000,26,24,20,206
2001,28,26,21,229
2002,31,28,22,250
2003,33,31,23,282
2004,36,33,24,302
2005,40,36,25,336
2006,44,40,26,361
2007,47,44,27,392
2008,49,47,28,419
2009,52,49,29,441
2010,56,52,30,463
2011,59,56,31,477
2012,62,59,32,488
2013,68,62,33,512
2014,71,68,34,536
2015,74,71,35,553
2016,77,74,36,566
2017,79,77,37,572
2018,83,79,38,581
2019,83,83,39,588
2020,83,83,40,589
