,h_t+1,h_t,a_age_t,paper_num_t
1980,1,0,0,2
1981,2,1,1,4
1982,2,2,2,4
1983,2,2,3,4
1984,2,2,4,4
1985,4,2,5,5
1986,5,4,6,6
1987,5,5,7,8
1988,5,5,8,11
1989,6,5,9,13
1990,7,6,10,18
1991,8,7,11,21
1992,9,8,12,26
1993,10,9,13,29
1994,10,10,14,35
1995,11,10,15,42
1996,12,11,16,49
1997,12,12,17,54
1998,14,12,18,54
1999,15,14,19,61
2000,18,15,20,65
2001,19,18,21,69
2002,20,19,22,79
2003,21,20,23,84
2004,23,21,24,90
2005,25,23,25,95
2006,27,25,26,98
2007,28,27,27,111
2008,29,28,28,115
2009,31,29,29,119
2010,34,31,30,123
2011,36,34,31,126
2012,37,36,32,131
2013,39,37,33,139
2014,40,39,34,142
2015,42,40,35,150
2016,46,42,36,155
2017,49,46,37,164
2018,51,49,38,170
2019,51,51,39,181
2020,51,51,40,183
