,h_t+1,h_t,a_age_t,paper_num_t
1974,1,0,0,1
1975,1,1,1,1
1976,2,1,2,3
1977,2,2,3,5
1978,2,2,4,5
1979,2,2,5,5
1980,2,2,6,6
1981,3,2,7,7
1982,4,3,8,10
1983,5,4,9,14
1984,6,5,10,14
1985,7,6,11,15
1986,7,7,12,17
1987,9,7,13,19
1988,11,9,14,26
1989,14,11,15,32
1990,16,14,16,38
1991,16,16,17,44
1992,18,16,18,50
1993,20,18,19,59
1994,21,20,20,69
1995,24,21,21,87
1996,25,24,22,100
1997,31,25,23,122
1998,36,31,24,138
1999,40,36,25,158
2000,43,40,26,186
2001,49,43,27,220
2002,54,49,28,245
2003,60,54,29,273
2004,66,60,30,295
2005,69,66,31,310
2006,74,69,32,322
2007,78,74,33,332
2008,81,78,34,350
2009,86,81,35,371
2010,91,86,36,395
2011,93,91,37,408
2012,95,93,38,421
2013,100,95,39,442
2014,103,100,40,466
2015,105,103,41,491
2016,110,105,42,507
2017,112,110,43,520
2018,114,112,44,538
2019,114,114,45,558
2020,114,114,46,558
