,h_t+1,h_t,a_age_t,paper_num_t
1984,1,0,0,2
1985,1,1,1,2
1986,1,1,2,3
1987,2,1,3,4
1988,2,2,4,7
1989,3,2,5,11
1990,4,3,6,15
1991,5,4,7,18
1992,6,5,8,24
1993,8,6,9,30
1994,8,8,10,40
1995,8,8,11,43
1996,10,8,12,46
1997,11,10,13,48
1998,12,11,14,56
1999,12,12,15,61
2000,14,12,16,66
2001,15,14,17,74
2002,16,15,18,84
2003,18,16,19,98
2004,21,18,20,117
2005,24,21,21,156
2006,26,24,22,176
2007,32,26,23,200
2008,36,32,24,229
2009,43,36,25,245
2010,50,43,26,259
2011,54,50,27,274
2012,60,54,28,289
2013,63,60,29,306
2014,68,63,30,322
2015,72,68,31,332
2016,76,72,32,340
2017,80,76,33,355
2018,82,80,34,367
2019,84,82,35,380
2020,84,84,36,381
