,h_t+1,h_t,a_age_t,paper_num_t
1989,1,0,0,2
1990,2,1,1,5
1991,3,2,2,9
1992,3,3,3,17
1993,3,3,4,29
1994,4,3,5,38
1995,4,4,6,43
1996,4,4,7,47
1997,6,4,8,49
1998,6,6,9,53
1999,6,6,10,56
2000,7,6,11,68
2001,7,7,12,77
2002,8,7,13,89
2003,10,8,14,111
2004,13,10,15,131
2005,14,13,16,175
2006,17,14,17,242
2007,22,17,18,324
2008,26,22,19,388
2009,30,26,20,458
2010,35,30,21,548
2011,40,35,22,628
2012,44,40,23,712
2013,49,44,24,813
2014,54,49,25,918
2015,60,54,26,984
2016,68,60,27,1055
2017,73,68,28,1126
2018,84,73,29,1222
2019,88,84,30,1309
2020,88,88,31,1319
