,h_t+1,h_t,a_age_t,paper_num_t
1987,0,0,0,2
1988,1,0,1,3
1989,2,1,2,6
1990,2,2,3,11
1991,5,2,4,16
1992,7,5,5,17
1993,8,7,6,19
1994,8,8,7,29
1995,8,8,8,36
1996,10,8,9,42
1997,13,10,10,45
1998,16,13,11,52
1999,18,16,12,57
2000,22,18,13,62
2001,23,22,14,74
2002,28,23,15,100
2003,33,28,16,120
2004,38,33,17,132
2005,44,38,18,148
2006,48,44,19,164
2007,51,48,20,179
2008,55,51,21,184
2009,58,55,22,190
2010,63,58,23,199
2011,65,63,24,208
2012,69,65,25,217
2013,71,69,26,233
2014,76,71,27,244
2015,81,76,28,255
2016,85,81,29,268
2017,89,85,30,276
2018,95,89,31,283
2019,96,95,32,295
2020,96,96,33,299
