,h_t+1,h_t,a_age_t,paper_num_t
1971,0,0,0,1
1972,0,0,1,1
1973,1,0,2,4
1974,2,1,3,10
1975,3,2,4,13
1976,5,3,5,20
1977,6,5,6,27
1978,7,6,7,34
1979,8,7,8,36
1980,8,8,9,41
1981,9,8,10,44
1982,10,9,11,53
1983,10,10,12,60
1984,11,10,13,66
1985,12,11,14,69
1986,13,12,15,76
1987,15,13,16,77
1988,16,15,17,83
1989,16,16,18,89
1990,16,16,19,93
1991,17,16,20,99
1992,18,17,21,107
1993,18,18,22,113
1994,18,18,23,122
1995,19,18,24,134
1996,22,19,25,143
1997,24,22,26,162
1998,24,24,27,174
1999,26,24,28,186
2000,27,26,29,202
2001,28,27,30,211
2002,31,28,31,226
2003,33,31,32,235
2004,37,33,33,243
2005,39,37,34,256
2006,43,39,35,279
2007,46,43,36,295
2008,49,46,37,308
2009,52,49,38,318
2010,56,52,39,327
2011,57,56,40,355
2012,59,57,41,367
2013,62,59,42,381
2014,64,62,43,386
2015,67,64,44,392
2016,70,67,45,400
2017,72,70,46,410
2018,75,72,47,413
2019,75,75,48,418
2020,75,75,49,419
