,h_t+1,h_t,a_age_t,paper_num_t
1970,5,3,29,76
1971,6,5,30,76
1972,7,6,31,77
1973,8,7,32,88
1974,9,8,33,91
1975,10,9,34,95
1976,12,10,35,98
1977,12,12,36,101
1978,12,12,37,103
1979,14,12,38,106
1980,17,14,39,113
1981,20,17,40,118
1982,22,20,41,120
1983,22,22,42,126
1984,24,22,43,130
1985,24,24,44,138
1986,26,24,45,145
1987,26,26,46,149
1988,29,26,47,155
1989,31,29,48,157
1990,32,31,49,164
1991,33,32,50,171
1992,33,33,51,178
1993,33,33,52,189
1994,34,33,53,194
1995,36,34,54,202
1996,36,36,55,208
1997,39,36,56,219
1998,41,39,57,226
1999,43,41,58,229
2000,44,43,59,235
2001,45,44,60,237
2002,46,45,61,238
2003,46,46,62,238
2004,47,46,63,238
2005,49,47,64,239
2006,51,49,65,239
2007,55,51,66,239
2008,56,55,67,240
2009,58,56,68,240
2010,60,58,69,240
2011,62,60,70,240
2012,63,62,71,240
2013,66,63,72,245
2014,67,66,73,246
2015,68,67,74,246
2016,68,68,75,246
2017,69,68,76,246
2018,69,69,77,246
2019,69,69,78,246
2020,79,69,79,246
