,h_t+1,h_t,a_age_t,paper_num_t
1981,0,0,0,1
1982,1,0,1,4
1983,1,1,2,7
1984,2,1,3,11
1985,3,2,4,18
1986,4,3,5,25
1987,6,4,6,34
1988,8,6,7,39
1989,9,8,8,49
1990,11,9,9,54
1991,12,11,10,56
1992,13,12,11,64
1993,14,13,12,68
1994,15,14,13,74
1995,18,15,14,80
1996,18,18,15,86
1997,20,18,16,87
1998,21,20,17,90
1999,22,21,18,94
2000,23,22,19,101
2001,24,23,20,111
2002,25,24,21,114
2003,26,25,22,118
2004,27,26,23,127
2005,29,27,24,142
2006,30,29,25,160
2007,33,30,26,179
2008,34,33,27,193
2009,37,34,28,205
2010,39,37,29,217
2011,44,39,30,223
2012,46,44,31,233
2013,49,46,32,241
2014,51,49,33,246
2015,53,51,34,264
2016,54,53,35,268
2017,55,54,36,275
2018,58,55,37,276
2019,59,58,38,277
2020,59,59,39,277
