,h_t+1,h_t,a_age_t,paper_num_t
1978,0,0,0,1
1979,0,0,1,1
1980,1,0,2,2
1981,1,1,3,5
1982,1,1,4,9
1983,2,1,5,12
1984,3,2,6,18
1985,3,3,7,22
1986,5,3,8,25
1987,6,5,9,31
1988,8,6,10,36
1989,9,8,11,47
1990,10,9,12,57
1991,11,10,13,62
1992,14,11,14,66
1993,17,14,15,72
1994,19,17,16,78
1995,19,19,17,88
1996,20,19,18,97
1997,22,20,19,99
1998,24,22,20,106
1999,25,24,21,116
2000,25,25,22,120
2001,28,25,23,126
2002,30,28,24,138
2003,34,30,25,152
2004,36,34,26,179
2005,39,36,27,195
2006,40,39,28,222
2007,44,40,29,238
2008,50,44,30,258
2009,53,50,31,269
2010,57,53,32,291
2011,61,57,33,300
2012,64,61,34,319
2013,66,64,35,335
2014,68,66,36,350
2015,69,68,37,365
2016,71,69,38,379
2017,72,71,39,398
2018,74,72,40,408
2019,75,74,41,421
2020,75,75,42,421
