,h_t+1,h_t,a_age_t,paper_num_t
1976,0,0,0,1
1977,0,0,1,3
1978,1,0,2,8
1979,1,1,3,14
1980,2,1,4,16
1981,3,2,5,25
1982,3,3,6,39
1983,3,3,7,44
1984,4,3,8,48
1985,4,4,9,59
1986,6,4,10,67
1987,6,6,11,79
1988,7,6,12,94
1989,7,7,13,109
1990,9,7,14,119
1991,11,9,15,130
1992,12,11,16,139
1993,15,12,17,148
1994,17,15,18,163
1995,17,17,19,191
1996,17,17,20,213
1997,18,17,21,232
1998,18,18,22,257
1999,19,18,23,286
2000,21,19,24,319
2001,25,21,25,356
2002,28,25,26,385
2003,31,28,27,409
2004,34,31,28,441
2005,37,34,29,463
2006,41,37,30,487
2007,45,41,31,511
2008,50,45,32,548
2009,53,50,33,576
2010,56,53,34,610
2011,59,56,35,631
2012,61,59,36,646
2013,65,61,37,658
2014,68,65,38,681
2015,70,68,39,685
2016,75,70,40,693
2017,77,75,41,702
2018,80,77,42,709
2019,80,80,43,718
2020,80,80,44,718
