,h_t+1,h_t,a_age_t,paper_num_t
1970,2,1,22,23
1971,2,2,23,24
1972,3,2,24,24
1973,3,3,25,25
1974,3,3,26,26
1975,3,3,27,27
1976,3,3,28,27
1977,3,3,29,27
1978,4,3,30,28
1979,4,4,31,28
1980,5,4,32,28
1981,5,5,33,32
1982,5,5,34,34
1983,5,5,35,35
1984,6,5,36,37
1985,6,6,37,39
1986,7,6,38,39
1987,7,7,39,41
1988,7,7,40,43
1989,8,7,41,43
1990,8,8,42,45
1991,9,8,43,45
1992,9,9,44,50
1993,11,9,45,54
1994,11,11,46,58
1995,13,11,47,61
1996,13,13,48,68
1997,15,13,49,73
1998,17,15,50,83
1999,22,17,51,93
2000,25,22,52,108
2001,29,25,53,123
2002,33,29,54,144
2003,39,33,55,156
2004,42,39,56,177
2005,49,42,57,226
2006,54,49,58,250
2007,59,54,59,290
2008,67,59,60,311
2009,72,67,61,339
2010,78,72,62,370
2011,85,78,63,395
2012,90,85,64,415
2013,94,90,65,428
2014,99,94,66,441
2015,101,99,67,453
2016,105,101,68,462
2017,107,105,69,470
2018,108,107,70,478
2019,109,108,71,482
2020,109,109,72,482
