,h_t+1,h_t,a_age_t,paper_num_t
1985,0,0,0,1
1986,0,0,1,2
1987,1,0,2,2
1988,1,1,3,4
1989,3,1,4,7
1990,4,3,5,10
1991,5,4,6,15
1992,6,5,7,19
1993,7,6,8,27
1994,9,7,9,32
1995,11,9,10,38
1996,13,11,11,46
1997,15,13,12,53
1998,17,15,13,66
1999,20,17,14,74
2000,23,20,15,84
2001,26,23,16,91
2002,30,26,17,98
2003,34,30,18,105
2004,38,34,19,117
2005,41,38,20,123
2006,44,41,21,145
2007,47,44,22,151
2008,51,47,23,162
2009,54,51,24,167
2010,60,54,25,180
2011,63,60,26,187
2012,66,63,27,195
2013,68,66,28,200
2014,71,68,29,205
2015,73,71,30,207
2016,76,73,31,209
2017,80,76,32,213
2018,82,80,33,214
2019,82,82,34,216
2020,82,82,35,216
