,h_t+1,h_t,a_age_t,paper_num_t
1973,1,0,0,2
1974,1,1,1,2
1975,1,1,2,2
1976,1,1,3,5
1977,2,1,4,6
1978,3,2,5,9
1979,3,3,6,9
1980,3,3,7,9
1981,4,3,8,10
1982,4,4,9,12
1983,5,4,10,13
1984,6,5,11,16
1985,6,6,12,18
1986,6,6,13,21
1987,8,6,14,23
1988,8,8,15,27
1989,9,8,16,33
1990,10,9,17,39
1991,13,10,18,44
1992,15,13,19,50
1993,16,15,20,56
1994,17,16,21,58
1995,17,17,22,61
1996,17,17,23,64
1997,18,17,24,64
1998,18,18,25,68
1999,18,18,26,70
2000,19,18,27,72
2001,19,19,28,78
2002,20,19,29,80
2003,21,20,30,81
2004,22,21,31,84
2005,22,22,32,93
2006,23,22,33,107
2007,25,23,34,113
2008,25,25,35,119
2009,26,25,36,127
2010,26,26,37,130
2011,27,26,38,135
2012,29,27,39,141
2013,30,29,40,150
2014,32,30,41,155
2015,32,32,42,159
2016,32,32,43,166
2017,33,32,44,168
2018,34,33,45,168
2019,34,34,46,169
2020,34,34,47,169
