,h_t+1,h_t,a_age_t,paper_num_t
1971,1,0,0,3
1972,2,1,1,6
1973,2,2,2,11
1974,3,2,3,17
1975,5,3,4,22
1976,5,5,5,30
1977,6,5,6,34
1978,8,6,7,40
1979,8,8,8,53
1980,9,8,9,61
1981,10,9,10,64
1982,11,10,11,68
1983,12,11,12,76
1984,13,12,13,89
1985,15,13,14,100
1986,16,15,15,112
1987,20,16,16,118
1988,24,20,17,129
1989,26,24,18,139
1990,30,26,19,144
1991,32,30,20,149
1992,34,32,21,161
1993,36,34,22,165
1994,39,36,23,173
1995,41,39,24,177
1996,42,41,25,183
1997,43,42,26,188
1998,44,43,27,193
1999,46,44,28,197
2000,48,46,29,199
2001,49,48,30,201
2002,50,49,31,204
2003,51,50,32,206
2004,52,51,33,210
2005,54,52,34,216
2006,56,54,35,221
2007,57,56,36,225
2008,59,57,37,233
2009,60,59,38,240
2010,61,60,39,243
2011,63,61,40,247
2012,64,63,41,254
2013,66,64,42,257
2014,70,66,43,266
2015,70,70,44,272
2016,72,70,45,275
2017,73,72,46,277
2018,75,73,47,277
2019,75,75,48,282
2020,75,75,49,282
