,h_t+1,h_t,a_age_t,paper_num_t
1990,1,0,0,1
1991,1,1,1,2
1992,1,1,2,2
1993,1,1,3,3
1994,1,1,4,4
1995,1,1,5,7
1996,3,1,6,11
1997,4,3,7,16
1998,7,4,8,34
1999,12,7,9,47
2000,17,12,10,62
2001,22,17,11,71
2002,25,22,12,85
2003,28,25,13,105
2004,33,28,14,129
2005,39,33,15,154
2006,41,39,16,176
2007,48,41,17,200
2008,52,48,18,216
2009,56,52,19,226
2010,61,56,20,244
2011,65,61,21,251
2012,70,65,22,258
2013,73,70,23,264
2014,77,73,24,266
2015,81,77,25,266
2016,84,81,26,272
2017,88,84,27,274
2018,91,88,28,274
2019,93,91,29,275
2020,93,93,30,275
