,h_t+1,h_t,a_age_t,paper_num_t
1970,4,3,3,27
1971,5,4,4,31
1972,6,5,5,41
1973,8,6,6,51
1974,9,8,7,53
1975,12,9,8,65
1976,13,12,9,72
1977,14,13,10,80
1978,15,14,11,82
1979,16,15,12,90
1980,18,16,13,94
1981,19,18,14,97
1982,20,19,15,104
1983,21,20,16,114
1984,22,21,17,123
1985,22,22,18,125
1986,23,22,19,127
1987,24,23,20,132
1988,26,24,21,136
1989,27,26,22,144
1990,27,27,23,150
1991,29,27,24,154
1992,30,29,25,155
1993,31,30,26,156
1994,31,31,27,157
1995,32,31,28,165
1996,33,32,29,173
1997,35,33,30,180
1998,35,35,31,184
1999,37,35,32,186
2000,39,37,33,191
2001,40,39,34,196
2002,42,40,35,196
2003,43,42,36,199
2004,43,43,37,199
2005,45,43,38,201
2006,47,45,39,201
2007,48,47,40,202
2008,49,48,41,202
2009,51,49,42,204
2010,52,51,43,207
2011,52,52,44,211
2012,53,52,45,215
2013,55,53,46,219
2014,56,55,47,222
2015,57,56,48,228
2016,58,57,49,235
2017,58,58,50,239
2018,61,58,51,241
2019,61,61,52,243
2020,61,61,53,243
