,h_t+1,h_t,a_age_t,paper_num_t
1987,0,0,0,1
1988,1,0,1,3
1989,2,1,2,3
1990,2,2,3,4
1991,4,2,4,6
1992,4,4,5,7
1993,4,4,6,8
1994,5,4,7,14
1995,5,5,8,17
1996,6,5,9,25
1997,6,6,10,32
1998,10,6,11,40
1999,11,10,12,45
2000,12,11,13,48
2001,14,12,14,58
2002,15,14,15,66
2003,17,15,16,76
2004,22,17,17,90
2005,27,22,18,93
2006,27,27,19,100
2007,30,27,20,105
2008,32,30,21,106
2009,33,32,22,113
2010,35,33,23,116
2011,37,35,24,121
2012,40,37,25,132
2013,42,40,26,137
2014,44,42,27,143
2015,47,44,28,153
2016,48,47,29,159
2017,51,48,30,160
2018,55,51,31,161
2019,55,55,32,168
2020,55,55,33,168
