,h_t+1,h_t,a_age_t,paper_num_t
1983,1,0,0,1
1984,1,1,1,5
1985,2,1,2,8
1986,4,2,3,15
1987,5,4,4,21
1988,6,5,5,30
1989,7,6,6,39
1990,8,7,7,47
1991,13,8,8,60
1992,16,13,9,69
1993,18,16,10,85
1994,19,18,11,105
1995,20,19,12,116
1996,23,20,13,130
1997,25,23,14,145
1998,27,25,15,169
1999,30,27,16,181
2000,31,30,17,199
2001,33,31,18,212
2002,38,33,19,232
2003,41,38,20,258
2004,43,41,21,275
2005,49,43,22,296
2006,52,49,23,320
2007,55,52,24,336
2008,58,55,25,350
2009,62,58,26,374
2010,65,62,27,396
2011,68,65,28,418
2012,71,68,29,436
2013,72,71,30,450
2014,72,72,31,469
2015,74,72,32,488
2016,77,74,33,500
2017,78,77,34,510
2018,80,78,35,518
2019,80,80,36,521
2020,80,80,37,523
