,h_t+1,h_t,a_age_t,paper_num_t
1988,0,0,0,1
1989,0,0,1,2
1990,0,0,2,5
1991,1,0,3,6
1992,1,1,4,12
1993,2,1,5,15
1994,2,2,6,25
1995,3,2,7,36
1996,3,3,8,43
1997,4,3,9,50
1998,4,4,10,64
1999,5,4,11,68
2000,6,5,12,80
2001,7,6,13,90
2002,10,7,14,106
2003,12,10,15,143
2004,16,12,16,171
2005,20,16,17,213
2006,24,20,18,248
2007,27,24,19,289
2008,29,27,20,325
2009,34,29,21,361
2010,37,34,22,402
2011,42,37,23,445
2012,45,42,24,492
2013,49,45,25,557
2014,52,49,26,614
2015,56,52,27,698
2016,59,56,28,756
2017,64,59,29,850
2018,68,64,30,921
2019,68,68,31,968
2020,68,68,32,982
