,h_t+1,h_t,a_age_t,paper_num_t
1975,0,0,0,1
1976,1,0,1,1
1977,1,1,2,4
1978,2,1,3,9
1979,4,2,4,18
1980,4,4,5,36
1981,5,4,6,45
1982,6,5,7,53
1983,8,6,8,65
1984,8,8,9,78
1985,10,8,10,90
1986,11,10,11,106
1987,12,11,12,118
1988,13,12,13,130
1989,15,13,14,136
1990,17,15,15,146
1991,18,17,16,158
1992,19,18,17,177
1993,21,19,18,209
1994,22,21,19,228
1995,23,22,20,245
1996,24,23,21,270
1997,24,24,22,290
1998,26,24,23,307
1999,29,26,24,325
2000,31,29,25,343
2001,32,31,26,360
2002,34,32,27,379
2003,37,34,28,396
2004,38,37,29,419
2005,42,38,30,438
2006,44,42,31,464
2007,47,44,32,482
2008,49,47,33,513
2009,51,49,34,535
2010,55,51,35,566
2011,58,55,36,587
2012,62,58,37,614
2013,65,62,38,643
2014,70,65,39,686
2015,71,70,40,711
2016,74,71,41,744
2017,80,74,42,767
2018,84,80,43,799
2019,84,84,44,830
2020,84,84,45,841
