,h_t+1,h_t,a_age_t,paper_num_t
1970,5,3,21,51
1971,7,5,22,54
1972,9,7,23,57
1973,10,9,24,59
1974,12,10,25,59
1975,14,12,26,63
1976,15,14,27,64
1977,16,15,28,65
1978,18,16,29,68
1979,20,18,30,68
1980,21,20,31,72
1981,21,21,32,72
1982,22,21,33,76
1983,22,22,34,84
1984,23,22,35,88
1985,24,23,36,92
1986,25,24,37,99
1987,25,25,38,100
1988,25,25,39,103
1989,26,25,40,104
1990,28,26,41,107
1991,30,28,42,110
1992,30,30,43,113
1993,30,30,44,117
1994,32,30,45,121
1995,32,32,46,123
1996,32,32,47,128
1997,33,32,48,130
1998,34,33,49,134
1999,36,34,50,141
2000,36,36,51,142
2001,38,36,52,150
2002,38,38,53,158
2003,39,38,54,166
2004,40,39,55,174
2005,41,40,56,183
2006,42,41,57,194
2007,44,42,58,200
2008,46,44,59,212
2009,49,46,60,221
2010,49,49,61,230
2011,50,49,62,235
2012,51,50,63,237
2013,53,51,64,242
2014,54,53,65,245
2015,54,54,66,251
2016,54,54,67,256
2017,55,54,68,257
2018,56,55,69,257
2019,57,56,70,260
2020,57,57,71,260
