,h_t+1,h_t,a_age_t,paper_num_t
1984,0,0,0,2
1985,0,0,1,2
1986,0,0,2,4
1987,0,0,3,5
1988,0,0,4,5
1989,1,0,5,6
1990,1,1,6,8
1991,1,1,7,9
1992,1,1,8,9
1993,1,1,9,9
1994,1,1,10,16
1995,2,1,11,16
1996,3,2,12,22
1997,3,3,13,27
1998,3,3,14,33
1999,4,3,15,39
2000,5,4,16,47
2001,6,5,17,55
2002,8,6,18,79
2003,11,8,19,112
2004,15,11,20,163
2005,19,15,21,210
2006,24,19,22,271
2007,29,24,23,317
2008,33,29,24,357
2009,37,33,25,402
2010,42,37,26,472
2011,49,42,27,523
2012,57,49,28,564
2013,62,57,29,599
2014,68,62,30,629
2015,75,68,31,654
2016,78,75,32,687
2017,85,78,33,726
2018,91,85,34,755
2019,93,91,35,769
2020,93,93,36,769
