,h_t+1,h_t,a_age_t,paper_num_t
1983,2,0,0,6
1984,2,2,1,10
1985,2,2,2,12
1986,3,2,3,16
1987,4,3,4,20
1988,4,4,5,21
1989,4,4,6,24
1990,5,4,7,27
1991,6,5,8,31
1992,7,6,9,38
1993,9,7,10,44
1994,11,9,11,54
1995,12,11,12,63
1996,12,12,13,73
1997,14,12,14,78
1998,16,14,15,96
1999,19,16,16,108
2000,20,19,17,123
2001,25,20,18,126
2002,26,25,19,136
2003,29,26,20,149
2004,33,29,21,163
2005,37,33,22,180
2006,42,37,23,195
2007,47,42,24,210
2008,52,47,25,228
2009,60,52,26,249
2010,68,60,27,265
2011,73,68,28,281
2012,78,73,29,305
2013,82,78,30,321
2014,86,82,31,346
2015,92,86,32,366
2016,99,92,33,378
2017,105,99,34,403
2018,108,105,35,426
2019,109,108,36,461
2020,109,109,37,467
